Department,DistinguishedName,Enabled,GivenName,mail,Manager,Name,ObjectClass,ObjectGUID,OfficePhone,SamAccountName,SID,sn,Surname,Title,UserPrincipalName,DoB,Gender,
Human Resources,CN=Garth Fort,TRUE,Garth,garthf@contoso.com,CN=Karim Manar,Garth Fort,user,09636eb3-0cab-4051-9606-37c549330110,(206) 555-8258,garthf,S-1-5-21-331390976-2650875657-2422772959-1715,Fort,Fort,HR Manager,,1/2/1983,1,Female
Sales,CN=Gina Boyer,TRUE,Gina,ginab@contoso.com,CN=Arthur Yasinski,Gina Boyer,user,561988f3-f047-4346-b081-09051fe8e12d,(509) 555-3766,ginab,S-1-5-21-331390976-2650875657-2422772959-1928,Boyer,Boyer,Salesperson,,10/20/1968,0,Male
Senior Management,CN=Greg Winston,TRUE,Greg,gregw@contoso.com,CN=Jeff Hay,Greg Winston,user,87453529-86f3-419d-99e5-2ab07db70c47,(425) 555-0140,gregw,S-1-5-21-331390976-2650875657-2422772959-1891,Winston,Winston,President of Management,,7/4/1978,1,Female
1099 Contractor,CN=Guido Pica,TRUE,Guido,guidop@contoso.com,CN=Brian Groth,Guido Pica,user,ca7c1c08-3cac-4b77-bb44-4a7cccd7b72c,(206) 555-4724,guidop,S-1-5-21-331390976-2650875657-2422772959-1808,Pica,Pica,Project Manager,,7/7/1982,2,Other
Operations,CN=Hans Gufler,TRUE,Hans,hansg@contoso.com,CN=Ben Spain,Hans Gufler,user,24f7f219-4e58-4478-ab5b-0c6f3e901831,(206) 555-1298,hansg,S-1-5-21-331390976-2650875657-2422772959-1950,Gufler,Gufler,Manager,,8/20/1969,2,Other
Sales,CN=Hazem Abolrous,TRUE,Hazem,hazema@contoso.com,CN=Lene Aalling,Hazem Abolrous,user,36ea36ef-6c7a-4a1f-b146-2f006196f4dd,(707) 555-3823,hazema,S-1-5-21-331390976-2650875657-2422772959-1870,Abolrous,Abolrous,Salesperson,,12/10/1978,2,Other
Operations,CN=Heinrich Fischer,TRUE,Heinrich,heinrif@contoso.com,CN=Arturo Lopez,Heinrich Fischer,user,5e9619e6-7db9-49b1-b02d-74e7f13e9804,(206) 555-3325,heinrif,S-1-5-21-331390976-2650875657-2422772959-1962,Fischer,Fischer,IT Manager,,1/30/1966,1,Female
Sales,CN=Howard Gonzalez,TRUE,Howard,howardg@contoso.com,CN=Lene Aalling,Howard Gonzalez,user,1a0d0c4c-35b4-4956-a10a-d11ffbc519d5,(20) 5555-6851,howardg,S-1-5-21-331390976-2650875657-2422772959-1861,Gonzalez,Gonzalez,Salesperson,,7/17/1973,2,Other
1099 Contractor,CN=Hugo Garcia,TRUE,Hugo,hugog@contoso.com,CN=Jenni Merrifield,Hugo Garcia,user,bc0cc68b-a9a2-4196-9ec9-e788801c4ab7,(206) 555-6852,hugog,S-1-5-21-331390976-2650875657-2422772959-1812,Garcia,Garcia,Strategy Consultant,,7/14/1989,2,Other
1099 Contractor,CN=Humberto Acevedo,TRUE,Humberto,humbera@contoso.com,CN=Brian Groth,Humberto Acevedo,user,cff32e30-7047-4c64-a1d6-04d478287546,(206) 555-9549,humbera,S-1-5-21-331390976-2650875657-2422772959-1799,Acevedo,Acevedo,Project Manager,,8/8/1973,0,Male
Human Resources,CN=Ian Tien,TRUE,Ian,iant@contoso.com,CN=Amy Alberts,Ian Tien,user,0a9a7b2d-1dd8-4282-aae1-fae964ec5f6d,(206) 555-1437,iant,S-1-5-21-331390976-2650875657-2422772959-1926,Tien,Tien,HR Specialist,,1/26/1968,0,Male
Strategy Consulting,CN=Iben Thorell,TRUE,Iben,ibent@contoso.com,CN=Brad Sutton,Iben Thorell,user,e58f3e62-e71c-48d7-aa55-7a0606ac5ec9,(206) 555-7167,ibent,S-1-5-21-331390976-2650875657-2422772959-1832,Thorell,Thorell,Strategy Consultant,,9/26/1969,1,Female
Strategy Consulting,CN=Idan Rubin,TRUE,Idan,idanr@contoso.com,CN=Brad Sutton,Idan Rubin,user,0d15bba1-f9e9-48d1-98e2-34d2407e6f86,(206) 555-5862,idanr,S-1-5-21-331390976-2650875657-2422772959-1787,Rubin,Rubin,Strategy Consultant,,10/19/1972,0,Male
Project Management,CN=Ivo Salmre,TRUE,Ivo,ivos@contoso.com,CN=Andrew Ma,Ivo Salmre,user,e270560d-a319-44cb-8272-9f233fee39c0,(206) 555-2699,ivos,S-1-5-21-331390976-2650875657-2422772959-1860,Salmre,Salmre,Project Manager,,9/1/1982,2,Other
Sales Engagement Management,CN=Jack Creasey,TRUE,Jack,jackc@contoso.com,CN=Dan Park,Jack Creasey,user,2a43d793-7367-4a3e-8c6e-5ec955a52038,(206) 555-4676,jackc,S-1-5-21-331390976-2650875657-2422772959-1718,Creasey,Creasey,Managing Director,,12/26/1984,1,Female
1099 Contractor,CN=Jaka Stele,TRUE,Jaka,jakas@contoso.com,CN=Brian Groth,Jaka Stele,user,41e635b7-adc4-4bd4-bfcc-21dfdb116222,(206) 555-6963,jakas,S-1-5-21-331390976-2650875657-2422772959-1817,Stele,Stele,Project Manager,,6/5/1974,0,Male
Accounting,CN=James Wittrell,TRUE,James,jamesw@contoso.com,CN=Karim Manar,James Wittrell,user,4641face-6a59-4055-bc0b-29db4b3b1672,(415) 555-2597,jamesw,S-1-5-21-331390976-2650875657-2422772959-1825,Wittrell,Wittrell,Accountant,,7/19/1985,2,Other
Sales Engagement Management,CN=Jamie Reding,TRUE,Jamie,jamier@contoso.com,CN=David Simpson,Jamie Reding,user,9c2872a2-9f00-42c0-b00d-4842a0fcaef3,(206) 555-2363,jamier,S-1-5-21-331390976-2650875657-2422772959-1897,Reding,Reding,Salesperson,,8/8/1965,2,Other
Strategy Consulting,CN=Jan Kotas,TRUE,Jan,jank@contoso.com,CN=Brad Sutton,Jan Kotas,user,4a783fb5-dabc-4f4f-8a2f-b1c90b8efe16,(206) 555-4747,jank,S-1-5-21-331390976-2650875657-2422772959-1840,Kotas,Kotas,Strategy Consultant,,8/26/1990,0,Male
CRM Strategy,CN=Jason Carlson,TRUE,Jason,jasonc@contoso.com,CN=Syed Abbas,Jason Carlson,user,5e5d6b8f-1344-4e70-a962-b952caeed4c1,(20) 5555-6548,jasonc,S-1-5-21-331390976-2650875657-2422772959-1784,Carlson,Carlson,CRM Consultant,,3/4/1987,0,Male
Executive,CN=Jeff Hay,TRUE,Jeff,jeffh@contoso.com,CN=Frank Martinez,Jeff Hay,user,0b23837b-8fdb-4edf-a50b-325ed0625086,(425) 555-0187,jeffh,S-1-5-21-331390976-2650875657-2422772959-1714,Hay,Hay,CVP of Operations,,9/17/1980,2,Other
CRM Strategy,CN=Jeff Williams,TRUE,Jeff,jeffw@contoso.com,CN=Syed Abbas,Jeff Williams,user,b739469e-df71-454e-ac05-3fc3e8baeeaf,(20) 5555-2592,jeffw,S-1-5-21-331390976-2650875657-2422772959-1776,Williams,Williams,CRM Consultant,,8/18/1979,0,Male
Operations,CN=Jelle Visser,TRUE,Jelle,jellev@contoso.com,CN=Keith Dishmo,Jelle Visser,user,0b5eb69f-c854-4a3e-92d4-70a9f04bf1ca,(206) 555-4932,jellev,S-1-5-21-331390976-2650875657-2422772959-1916,Visser,Visser,Procurement Manager,,4/11/1989,2,Other
Strategy Consulting,CN=Jenni Merrifield,TRUE,Jenni,jennim@contoso.com,CN=David Maman,Jenni Merrifield,user,6884a642-9966-442a-ac80-6dfed9442a5b,(206) 555-3965,jennim,S-1-5-21-331390976-2650875657-2422772959-1742,Merrifield,Merrifield,Strategy Consultant,,8/9/1984,2,Other
Sales,CN=Jenny Lysaker,TRUE,Jenny,jennyl@contoso.com,CN=April Stewart,Jenny Lysaker,user,a28e6030-6acc-4ca3-b715-88685ff511d5,(860) 555-4516,jennyl,S-1-5-21-331390976-2650875657-2422772959-1969,Lysaker,Lysaker,Salesperson,,2/3/1977,0,Male
1099 Contractor,CN=Jeremy Los,TRUE,Jeremy,jeremyl@contoso.com,CN=Jenni Merrifield,Jeremy Los,user,1e7897e2-c122-47f2-9d7f-534b584776eb,(206) 555-8792,jeremyl,S-1-5-21-331390976-2650875657-2422772959-1813,Los,Los,Strategy Consultant,,1/15/1986,0,Male
Project Management,CN=Jesper Aaberg,TRUE,Jesper,jespera@contoso.com,CN=Chris Norred,Jesper Aaberg,user,9a7c972f-cff2-47b0-9508-0a60ae0bd846,(206) 555-1783,jespera,S-1-5-21-331390976-2650875657-2422772959-1881,Aaberg,Aaberg,Project Manager,,3/1/1987,0,Male
1099 Contractor,CN=Jessica Arnold,TRUE,Jessica,jessica@contoso.com,CN=Brian Groth,Jessica Arnold,user,88854ebf-d74b-4648-ae25-6a79e2e762c7,(206) 555-3415,jessica,S-1-5-21-331390976-2650875657-2422772959-1809,Arnold,Arnold,Project Manager,,8/7/1970,0,Male
Strategy Consulting,CN=Jesus Escolar,TRUE,Jesus,jesuse@contoso.com,CN=Aaron Painter,Jesus Escolar,user,49ee2aac-d40f-46a2-8520-0218b5e42a49,(206) 555-5784,jesuse,S-1-5-21-331390976-2650875657-2422772959-1786,Escolar,Escolar,Strategy Consultant,,9/7/1987,2,Other
Accounting,CN=Jill Frank,TRUE,Jill,jillf@contoso.com,CN=Karim Manar,Jill Frank,user,5a9e505a-a18f-4bf7-954e-255cd1ceafec,(425) 555-9559,jillf,S-1-5-21-331390976-2650875657-2422772959-1844,Frank,Frank,Accountant,,3/17/1967,2,Other
Strategy Consulting,CN=Jim Corbin,TRUE,Jim,jimc@contoso.com,CN=David Maman,Jim Corbin,user,49c4721e-48b4-48b2-997f-633fb4afb540,(206) 555-8157,jimc,S-1-5-21-331390976-2650875657-2422772959-1785,Corbin,Corbin,Strategy Consultant,,9/4/1981,2,Other
Executive,CN=Jim Daly,TRUE,Jim,jimd@contoso.com,CN=Dan Jump,Jim Daly,user,735489b4-7b2c-4f68-a76e-9156de8da5d6,(425) 555-0116,jimd,S-1-5-21-331390976-2650875657-2422772959-1894,Daly,Daly,CFO,,11/10/1984,2,Other
Content Management Consulting,CN=Jim Lucey,TRUE,Jim,jiml@contoso.com,CN=Stan Orme,Jim Lucey,user,49b7abb0-7c7e-4052-907c-16f5825683eb,(20) 5555-1626,jiml,S-1-5-21-331390976-2650875657-2422772959-1757,Lucey,Lucey,Content Management Consultant,,8/13/1976,2,Other
Operations,CN=Jo Berry,TRUE,Jo,job@contoso.com,CN=Ben Spain,Jo Berry,user,e2bab5fd-4aa5-4d26-8f8f-17ba4b163dd7,(206) 555-9867,job,S-1-5-21-331390976-2650875657-2422772959-1949,Berry,Berry,Manager,,7/10/1974,0,Male
Accounting,CN=Joel Lachance,TRUE,Joel,joell@contoso.com,CN=Karim Manar,Joel Lachance,user,acb51c31-6b51-4d80-bdb5-f55f982cdaf6,(206) 555-6848,joell,S-1-5-21-331390976-2650875657-2422772959-1845,Lachance,Lachance,Accountant,,10/25/1972,2,Other
Marketing,CN=John Evans,TRUE,John,johnev@contoso.com,CN=Kelly Krout,John Evans,user,061929ec-ccb5-407a-ad08-95d26d8cef92,(206) 555-8951,johnev,S-1-5-21-331390976-2650875657-2422772959-1961,Evans,Evans,Marketing Specialist,,8/5/1971,1,Female
1099 Contractor,CN=John Ganio,TRUE,John,johng@contoso.com,CN=Jenni Merrifield,John Ganio,user,2859685c-a540-43bf-b161-9ea55e462395,(206) 555-6235,johng,S-1-5-21-331390976-2650875657-2422772959-1814,Ganio,Ganio,Strategy Consultant,,3/4/1981,0,Male
Strategy Consulting,CN=John John,TRUE,John,johne@contoso.com,CN=Aaron Painter,John John,user,c12c238f-5f1a-4e26-8786-536be9589214,(206) 555-5846,johne,S-1-5-21-331390976-2650875657-2422772959-1846,John,John,Strategy Consultant,,5/13/1967,2,Other
Sales,CN=John Kane,TRUE,John,johnk@contoso.com,CN=Jose Saraiva,John Kane,user,82919424-4615-4a6c-8922-0719b4e8c3a7,(214) 555-8332,johnk,S-1-5-21-331390976-2650875657-2422772959-1837,Kane,Kane,Salesperson,,8/1/1974,2,Other
Strategy Consulting,CN=John Yokum,TRUE,John,johny@contoso.com,CN=Ellen Adams,John Yokum,user,90291c8d-f900-4762-96ad-c2eb1002686d,(206) 555-8147,johny,S-1-5-21-331390976-2650875657-2422772959-1797,Yokum,Yokum,Strategy Consultant,,12/19/1984,2,Other
Operations,CN=Jon Grande,TRUE,Jon,jong@contoso.com,CN=Erika Cheley,Jon Grande,user,496e3974-291c-4a49-add5-3b9a2da18ec6,(206) 555-7649,jong,S-1-5-21-331390976-2650875657-2422772959-1948,Grande,Grande,Manager,,9/18/1976,2,Other
Strategy Consulting,CN=Jon Jaffe,TRUE,Jon,jonj@contoso.com,CN=Brad Sutton,Jon Jaffe,user,be7519a0-a110-4627-914f-03038b7bc4d1,(206) 555-5499,jonj,S-1-5-21-331390976-2650875657-2422772959-1780,Jaffe,Jaffe,Strategy Consultant,,1/2/1988,2,Other
Marketing,CN=Jordao Moreno,TRUE,Jordao,jordaom@contoso.com,CN=Kelly Krout,Jordao Moreno,user,5d8b4d1b-baa0-4805-9f0d-e2b68d462b4e,(206) 555-6811,jordaom,S-1-5-21-331390976-2650875657-2422772959-1970,Moreno,Moreno,Marketing Specialist,,3/20/1982,2,Other
Sales,CN=Jose Saraiva,TRUE,Jose,joses@contoso.com,CN=Larry Zhang,Jose Saraiva,user,7e28daa4-228f-46fc-b8f1-f35d7e4ed03e,(206) 555-9337,joses,S-1-5-21-331390976-2650875657-2422772959-1744,Saraiva,Saraiva,Sales Manager,,8/1/1975,0,Male
Sales,CN=Josh Edwards,TRUE,Josh,joshe@contoso.com,CN=Lene Aalling,Josh Edwards,user,50711537-215b-474b-aba0-1e13a1f398ea,(026) 555-8454,joshe,S-1-5-21-331390976-2650875657-2422772959-1971,Edwards,Edwards,Salesperson,,11/3/1973,0,Male
Senior Management,CN=Julian Isla,TRUE,Julian,juliani@contoso.com,CN=Molly Clark,Julian Isla,user,81066423-effe-4a10-aa35-4aa10ae0510c,(425) 555-0184,juliani,S-1-5-21-331390976-2650875657-2422772959-1737,Isla,Isla,Sr. Business Development Manager,,5/4/1979,1,Female
Strategy Consulting,CN=Jun Cao,TRUE,Jun,junc@contoso.com,CN=Cesar Garcia,Jun Cao,user,94594a6a-d619-403b-a2c4-df1a6dd243af,(206) 555-3449,junc,S-1-5-21-331390976-2650875657-2422772959-1847,Cao,Cao,Strategy Consultant,,9/26/1967,2,Other
Operations,CN=Justin Thorp,TRUE,Justin,justint@contoso.com,CN=Erika Cheley,Justin Thorp,user,dda79200-5c91-4359-a871-19943799fa5b,(206) 555-1393,justint,S-1-5-21-331390976-2650875657-2422772959-1947,Thorp,Thorp,Manager,,7/10/1982,2,Other
Operations,CN=Kai Axford,TRUE,Kai,kaia@contoso.com,CN=Arturo Lopez,Kai Axford,user,db494dc0-7737-43e8-8c15-5d004cad6e15,(206) 555-9541,kaia,S-1-5-21-331390976-2650875657-2422772959-1954,Axford,Axford,IT Manager,,7/11/1977,1,Female
Senior Management,CN=Karen Berg,TRUE,Karen,karenb@contoso.com,CN=Julian Isla,Karen Berg,user,026dc3e3-4406-43c7-9a3e-cba432b0447b,(425) 555-0174,karenb,S-1-5-21-331390976-2650875657-2422772959-1925,Berg,Berg,Sr. Account Manager,,5/8/1987,0,Male
Sales,CN=Kari Furse,TRUE,Kari,karif@contoso.com,CN=Jose Saraiva,Kari Furse,user,825e514b-d061-40e4-af79-1d3d432447ad,(541) 555-2668,karif,S-1-5-21-331390976-2650875657-2422772959-1924,Furse,Furse,Salesperson,,5/10/1986,2,Other
Accounting,CN=Karim Manar,TRUE,Karim,karimm@contoso.com,CN=Diane Tibbot,Karim Manar,user,7db937b4-a31a-448f-bc54-7b871e609506,(206) 555-4156,karimm,S-1-5-21-331390976-2650875657-2422772959-1712,Manar,Manar,Controller,,9/3/1985,0,Male
CRM Strategy,CN=Karin Lamb,TRUE,Karin,karinl@contoso.com,CN=Syed Abbas,Karin Lamb,user,011a88bc-7df9-4d92-ba1f-2ff319e101e1,(20) 5555-9834,karinl,S-1-5-21-331390976-2650875657-2422772959-1759,Lamb,Lamb,CRM Consultant,,11/25/1975,0,Male
Engineering Operations,CN=Kate Taneyhill,TRUE,Kate,katet@contoso.com,CN=Carol Troup,Kate Taneyhill,user,081d9d81-2445-430c-b1fe-520ecd3ecf00,(206) 555-2732,katet,S-1-5-21-331390976-2650875657-2422772959-1937,Taneyhill,Taneyhill,Senior Engineer,,9/3/1980,1,Female
Operations,CN=Keith Dishmo,TRUE,Keith,keithd@contoso.com,CN=Adam Barr,Keith Dishmo,user,b1bb9fc3-dcb0-4328-8d91-6d88ee78bc2d,(206) 555-7436,keithd,S-1-5-21-331390976-2650875657-2422772959-1743,Dishmo,Dishmo,Procurement Manager,,10/23/1971,0,Male
Marketing,CN=Kelly Krout,TRUE,Kelly,kellyk@contoso.com,CN=Adam Barr,Kelly Krout,user,7139b430-f5e4-4dc2-8b1f-1921b54f42a5,(206) 555-6511,kellyk,S-1-5-21-331390976-2650875657-2422772959-1739,Krout,Krout,Marketing Manager,,6/14/1987,1,Female
Operations,CN=Kelly Weadock,TRUE,Kelly,kellyw@contoso.com,CN=Adam Barr,Kelly Weadock,user,50c573a3-0619-4e1b-b433-401a333c7372,(206) 555-8936,kellyw,S-1-5-21-331390976-2650875657-2422772959-1725,Weadock,Weadock,CTO of Professional Services,,9/8/1980,0,Male
Operations,CN=Ken Ewert,TRUE,Ken,kene@contoso.com,CN=Erika Cheley,Ken Ewert,user,115f290d-6bdc-4de9-b0e4-790c5c440127,(206) 555-7698,kene,S-1-5-21-331390976-2650875657-2422772959-1946,Ewert,Ewert,Manager,,11/6/1987,0,Male
Strategy Consulting,CN=Ken Malcolmson,TRUE,Ken,kenm@contoso.com,CN=Ellen Adams,Ken Malcolmson,user,6336e033-261a-4b4c-b800-3f407008ec7e,(206) 555-8879,kenm,S-1-5-21-331390976-2650875657-2422772959-1857,Malcolmson,Malcolmson,Strategy Consultant,,5/21/1979,0,Male
Strategy Consulting,CN=Kenneth Cools,TRUE,Kenneth,kennetc@contoso.com,CN=Brad Sutton,Kenneth Cools,user,bc1a8902-3723-4595-82c5-abef33280605,(206) 555-4886,kennetc,S-1-5-21-331390976-2650875657-2422772959-1849,Cools,Cools,Strategy Consultant,,1/3/1972,1,Female
Sales Engagement Management,CN=Kerim Hanif,TRUE,Kerim,kerimh@contoso.com,CN=David Simpson,Kerim Hanif,user,bec96a2e-6811-4aed-92c1-80c10cbef492,(206) 555-5661,kerimh,S-1-5-21-331390976-2650875657-2422772959-1896,Hanif,Hanif,Salesperson,,2/7/1968,2,Other
Operations,CN=Kevin Kennedy,TRUE,Kevin,kevink@contoso.com,CN=Arturo Lopez,Kevin Kennedy,user,abe8e04a-d2cf-4513-b6f3-bd4b3f83d0ae,(206) 555-7455,kevink,S-1-5-21-331390976-2650875657-2422772959-1953,Kennedy,Kennedy,IT Manager,,12/21/1970,2,Other
Sales,CN=Kevin Verboort,TRUE,Kevin,kevinv@contoso.com,CN=Arthur Yasinski,Kevin Verboort,user,e19dc78a-e677-4d14-b73d-16ea5ad2c3f0,(206) 555-3654,kevinv,S-1-5-21-331390976-2650875657-2422772959-1958,Verboort,Verboort,Salesperson,,5/25/1975,2,Other
Sales,CN=Kim Abercrombie,TRUE,Kim,kima@contoso.com,CN=Jose Saraiva,Kim Abercrombie,user,664725d3-879e-4447-98da-45a39a55acde,(410) 555-3839,kima,S-1-5-21-331390976-2650875657-2422772959-1910,Abercrombie,Abercrombie,Salesperson,,3/16/1967,2,Other
Strategy Consulting,CN=Kim Ralls,TRUE,Kim,kimr@contoso.com,CN=David Maman,Kim Ralls,user,230a05a1-554c-4adb-b4e5-77bb32f2e9bf,(206) 555-1443,kimr,S-1-5-21-331390976-2650875657-2422772959-1839,Ralls,Ralls,Strategy Consultant,,1/2/1965,1,Female
Sales,CN=Kirk Nason,TRUE,Kirk,kirkj@contoso.com,CN=Jose Saraiva,Kirk Nason,user,330d3d4c-179a-4c71-9b45-7a94d702b535,(91) 555-8595,kirkj,S-1-5-21-331390976-2650875657-2422772959-1963,Nason,Nason,Salesperson,,9/8/1983,2,Other
Operations,CN=Kris Johnsen,TRUE,Kris,krisj@contoso.com,CN=Arturo Lopez,Kris Johnsen,user,d64b8476-3c5f-4caf-af6f-9a0f1c51d19f,(206) 555-9001,krisj,S-1-5-21-331390976-2650875657-2422772959-2000,Johnsen,Johnsen,IT Manager,,8/8/1982,2,Other
Sales,CN=Larry Zhang,TRUE,Larry,larryz@contoso.com,CN=Jack Creasey,Larry Zhang,user,5f35988c-afb1-4107-9b1a-935f91f3bf71,(914) 555-7414,larryz,S-1-5-21-331390976-2650875657-2422772959-1727,Zhang,Zhang,Regional Sales Manager,,1/29/1967,0,Male
Accounting,CN=Lars Hansson,TRUE,Lars,larsh@contoso.com,CN=Karim Manar,Lars Hansson,user,8006fa53-332a-4169-85b3-4ad056f4cc12,(415) 555-7777,larsh,S-1-5-21-331390976-2650875657-2422772959-1843,Hansson,Hansson,Accounting Manager,,4/9/1982,1,Female
Sales Engagement Management,CN=Lene Aalling,TRUE,Lene,lenea@contoso.com,CN=Steve Luper,Lene Aalling,user,309409a4-150e-44e3-93c5-f08458b243ee,(701) 555-3621,lenea,S-1-5-21-331390976-2650875657-2422772959-1745,Aalling,Aalling,Sales Manager,,7/6/1977,2,Other
1099 Contractor,CN=Lina Abola,TRUE,Lina,linaa@contoso.com,CN=Jenni Merrifield,Lina Abola,user,21381b8e-94bb-43df-a37a-6ce89324f411,(206) 555-4666,linaa,S-1-5-21-331390976-2650875657-2422772959-1815,Abola,Abola,Strategy Consultant,,12/9/1972,2,Other
Content Management Consulting,CN=Lisa Andrews,TRUE,Lisa,lisaa@contoso.com,CN=Stan Orme,Lisa Andrews,user,5b517785-ce63-4d9e-9564-75f60db5baa4,(20) 5555-7545,lisaa,S-1-5-21-331390976-2650875657-2422772959-1756,Andrews,Andrews,Content Management Consultant,,7/12/1985,0,Male
Strategy Consulting,CN=Lisa Miller,TRUE,Lisa,lisam@contoso.com,CN=Cesar Garcia,Lisa Miller,user,6337b7f5-b5ad-4931-b33a-9df49f032922,(206) 555-7947,lisam,S-1-5-21-331390976-2650875657-2422772959-1783,Miller,Miller,Strategy Consultant,,4/11/1975,0,Male
Strategy Consulting,CN=Lolan Song,TRUE,Lolan,lolans@contoso.com,CN=David Maman,Lolan Song,user,ec6c80af-e6f6-4db2-9562-3fc6e2fd7f2e,(206) 555-1913,lolans,S-1-5-21-331390976-2650875657-2422772959-1842,Song,Song,Strategy Consultant,,4/18/1976,2,Other
Strategy Consulting,CN=Lori Kane,TRUE,Lori,lorik@contoso.com,CN=Brad Sutton,Lori Kane,user,f5a2b7f2-35c5-471e-a8c7-4569ad2861f5,(206) 555-5292,lorik,S-1-5-21-331390976-2650875657-2422772959-1767,Kane,Kane,Strategy Consultant,,1/31/1972,0,Male
CRM Strategy,CN=Lorraine Nay,TRUE,Lorraine,lorrain@contoso.com,CN=Syed Abbas,Lorraine Nay,user,509cd11b-74bf-4d4d-a19c-1f740e7e4db7,(20) 5555-8569,lorrain,S-1-5-21-331390976-2650875657-2422772959-1831,Nay,Nay,CRM Consultant,,4/10/1984,0,Male
Strategy Consulting,CN=Lubor Kollar,TRUE,Lubor,lubork@contoso.com,CN=Aaron Painter,Lubor Kollar,user,9dcc4bd9-6fe3-4228-b3c0-32ee0aa83d59,(206) 555-8223,lubork,S-1-5-21-331390976-2650875657-2422772959-1851,Kollar,Kollar,Strategy Consultant,,7/30/1978,1,Female
Sales,CN=Luca Dellamore,TRUE,Luca,lucad@contoso.com,CN=April Stewart,Luca Dellamore,user,27f11da9-3adb-4e08-8cf0-b7f8be26f2b9,(06) 5555-8461,lucad,S-1-5-21-331390976-2650875657-2422772959-1859,Dellamore,Dellamore,Salesperson,,11/21/1982,1,Female
Sales,CN=Luis Bonifaz,TRUE,Luis,luisb@contoso.com,CN=Arthur Yasinski,Luis Bonifaz,user,6938e863-6bcd-4c01-a4c9-9731a62ea24e,(108) 5-7862,luisb,S-1-5-21-331390976-2650875657-2422772959-1957,Bonifaz,Bonifaz,Salesperson,,10/16/1989,1,Female
Sales Engagement Management,CN=Luka Abrus,TRUE,Luka,lukaa@contoso.com,CN=April Stewart,Luka Abrus,user,a69a1b96-822b-4c67-b9f1-a4f52bb27aba,(804) 555-3648,lukaa,S-1-5-21-331390976-2650875657-2422772959-1906,Abrus,Abrus,Salesperson,,9/10/1987,0,Male
Operations,CN=Lukas Keller,TRUE,Lukas,lukask@contoso.com,CN=Erika Cheley,Lukas Keller,user,a6f257e6-b2a2-404b-8327-179f0279f3ac,(206) 555-3556,lukask,S-1-5-21-331390976-2650875657-2422772959-1945,Keller,Keller,Manager,,3/19/1979,0,Male
Content Management Consulting,CN=Magnus Hedlund,TRUE,Magnus,magnush@contoso.com,CN=Stan Orme,Magnus Hedlund,user,501b0760-1220-41d9-8dd0-f6be960717f8,(206) 555-7213,magnush,S-1-5-21-331390976-2650875657-2422772959-1833,Hedlund,Hedlund,Business Process Manager,,11/21/1977,1,Female
Sales,CN=Manish Chopra,TRUE,Manish,manishc@contoso.com,CN=Lene Aalling,Manish Chopra,user,805a6755-468a-4064-a72a-2e7b50611f8e,(413) 555-3855,manishc,S-1-5-21-331390976-2650875657-2422772959-1955,Chopra,Chopra,Salesperson,,1/7/1977,1,Female
Project Management,CN=Manueal Machado,TRUE,Manueal,manueam@contoso.com,CN=Barry Johnson,Manueal Machado,user,c38e3f7b-c5b1-4ba0-b7b8-4bcf317e7db8,(206) 555-2246,manueam,S-1-5-21-331390976-2650875657-2422772959-1858,Machado,Machado,Senior Project Manager,,2/3/1975,0,Male
Sales,CN=Marc Faerber,TRUE,Marc,marcf@contoso.com,CN=David Simpson,Marc Faerber,user,d8fd85c5-5df6-4d42-804e-14c618b3bbba,(213) 555-3269,marcf,S-1-5-21-331390976-2650875657-2422772959-1923,Faerber,Faerber,Salesperson,,9/28/1968,0,Male
Sales,CN=Marcelo Truffat,TRUE,Marcelo,marcelt@contoso.com,CN=Jose Saraiva,Marcelo Truffat,user,a5a4f9bf-2e00-4739-bfaa-e115b6a7dd97,(206) 555-1785,marcelt,S-1-5-21-331390976-2650875657-2422772959-1932,Truffat,Truffat,Salesperson,,5/5/1970,2,Other
Project Management,CN=Margaret Au,TRUE,Margaret,margara@contoso.com,CN=Chris Norred,Margaret Au,user,2cfc0fba-86e9-4107-9a1f-c0e2643cf927,(206) 555-2918,margara,S-1-5-21-331390976-2650875657-2422772959-1880,Au,Au,Business Process Manager,,11/22/1968,0,Male
Operations,CN=Marie Dubois,TRUE,Marie,maried@contoso.com,CN=Arturo Lopez,Marie Dubois,user,7cee8e85-e3cf-4b6f-84ec-fac89107e957,(206) 555-5567,maried,S-1-5-21-331390976-2650875657-2422772959-1952,Dubois,Dubois,IT Manager,,9/24/1965,2,Other
1099 Contractor,CN=Mark Hanson,TRUE,Mark,markh@contoso.com,CN=Jenni Merrifield,Mark Hanson,user,c6083bbc-d33d-4ee6-b1d2-623893b47535,(206) 555-7794,markh,S-1-5-21-331390976-2650875657-2422772959-1816,Hanson,Hanson,Strategy Consultant,,5/15/1986,0,Male
Sales,CN=Marko Zajc,TRUE,Marko,markoz@contoso.com,CN=April Stewart,Marko Zajc,user,ecd55b50-c750-463c-8eaf-ae8be8f0701b,(09) 5555-3784,markoz,S-1-5-21-331390976-2650875657-2422772959-1899,Zajc,Zajc,Salesperson,,12/13/1971,1,Female
Sales,CN=Maru Subrmani,TRUE,Maru,marus@contoso.com,CN=April Stewart,Maru Subrmani,user,94275b5c-ed29-4f08-b12c-0c0e48f4103f,(850) 555-5277,marus,S-1-5-21-331390976-2650875657-2422772959-1922,Subrmani,Subrmani,Salesperson,,5/31/1967,1,Female
